generic,genus,genus_ref,genus_type,genus_type_ref,genus_syn,genus_syn_ref,genus_new_syn,subgenus,subgenus_ref,subgenus_type,subgenus_type_ref
Myrsidea,Myrsidea,,Menopon cornicis,"Z{l-}otorzycka, 1973a:51 ",Wolfdietrichia,"Ledger, 1980:61",,,,,
Menacanthus,Menacanthus,,Zemiodes zumpti,"Eichler, 1944e:172 ",Zemiodes,"Emerson, 1972b:75",,,,,
Neophilopterus,Neophilopterus,,Abumarkub koenigi,"Eichler, 1959b:64 ",Abumarkub,"Emerson, 1972a:99",,,,,
Acidoproctus,Acidoproctus,"Piaget, 1878:178",Acidoproctus marginatus,Piaget,,,,,,,
Brueelia,Brueelia,,Acronirmus buettikeri,"Eichler, 1953g:338 ",Acronirmus,,New Syn,,,,
Acutifrons,Acutifrons,"Guimarães, 1942c:235",Acutifrons vieirai,Guimarães,,,,,,,
Aegypoecus,Aegypoecus,"Clay & Meinertzhagen, 1939a:36",Helluo neophron,Clay & Meinertzhagen,,,,,,,
Acidoproctus,Acidoproctus,,Akidoproctus marginatus,"Piaget, 1880:208 ",Akidoproctus,"Hopkins & Clay, 1952:25",,,,,
Penenirmus,Penenirmus,,Penenirmus pavlovskyi,"Z{l-}otorzycka, 1964b:273 ",Alaudinirmus,"Emerson, 1972a:111",,,,,
Alcedoecus,Alcedoecus,"Clay & Meinertzhagen, 1939b:162",Philopterus capistratus,Neumann,,,,,,,
Alcedoffula,Alcedoffula,"Clay & Meinertzhagen, 1939b:161",Docophorus alcedinis,Denny,,,,,,,
Brueelia,Brueelia,,Allobrueelia amsel,"Eichler, 1951c:36 ",Allobrueelia,"Hopkins & Clay, 1953:434",,,,,
Brueelia,Brueelia,,Nirmus tristis,"Z{l-}otorzycka, 1964b:263 ",Allonirmus,"Ledger, 1980:41",,,,,
Auricotes,Auricotes,,Altericornu coloceroides,"Tendeiro, 1969g:506 ",Altericornu,,New Syn,,,,
Anamias,Halipeurus,"Timmer., 1965:155",,,,,,Anamias,"Timmer., 1965:155 ",Halipeurus raphanus,Timmer.
Anaticola,Anaticola,"Clay, 1936a:617",Pediculus crassicornis,Scopoli,,,,,,,
Anatoecus,Anatoecus,"Cummings, 1916b:653",Philopterus icterodes,Nitzsch,,,,,,,
Physconella,Physconella,,Ancistrocephalus kelloggi,"Paine, 1913:158 ",Ancistrocephalus,"Hopkins & Clay, 1952:36",,,,,
Coloceras,Coloceras,,Ancistrodes furcatus,"Kéler, 1939b:65 ",Ancistrodes,"Hopkins & Clay, 1952:36",,,,,
Quadraceps,Quadraceps,,Nirmus separatus,"Z{l-}otorzycka, 1967:730 ",Anousceps,"Emerson, 1972a:133",,,,,
Aptericola,Rallicola,"Hopkins & Clay, 1952:37",,,,,,Aptericola,"Harrison, 1915b:90 ",Rallicola gadowi,Harrison
Aquanirmus,Aquanirmus,"Clay & Meinertzhagen, 1939b:163",Lipeurus runcinatus,Nitzsch,,,,,,,
Goniodes,Goniodes,,Goniodes wilsoni,"Conci, 1946b:77 ",Archigoniodes,"Hopkins & Clay, 1952:38",,,,,
Struthiolipeurus,Struthiolipeurus,,Struthiolipeurus nandu,"Mey, 1998:68 ",Archolipeurus,,New Syn,,,,
Ardeicola,Ardeicola,"Clay, 1936a:615",Pediculus ardeae,L.,,,,,,,
Ardeiphagus,Ardeiphagus,"Carriker, 1949a:307",Ardeiphagus cochlearius,Carriker,,,,,,,
Goniodes,Goniodes,,Goniocotes astrocephalus,"Kéler, 1939b:109 ",Astrocotes,"Hopkins & Clay, 1952:43",,,,,
Goniodes,Goniodes,,Goniocotes coronatus,"Kéler, 1939b:113 ",Astrodes,"Hopkins & Clay, 1952:43",,,,,
Auricotes,Auricotes,"Kéler, 1939b:164",Goniocotes carpophagae,Rudow,,,,,,,
Goniodes,Goniodes,,Aurinirmus arfakianus,"Tendeiro, 1983c:116 ",Aurinirmus,,New Syn,,,,
Austrogoniodes,Austrogoniodes,"Harrison, 1915a:398",Goniocotes waterstoni,Cummings,,,,,,,
Kelloggia,Kelloggia,,Austrokelloggia intermedia,"Carriker, 1936:175 ",Austrokelloggia,"Ward, 1957:338",,,,,
Austrophilopterus,Austrophilopterus,"Ewing, 1929:190",Docophorus cancellosus,Carriker,,,,,,,
Paragoniocotes,Paragoniocotes,,Goniocotes fasciatus,"Eichler, 1952c:75 ",Avipediculus,"Hopkins & Clay, 1953:435",,,,,
Bedfordiella,Bedfordiella,"Thompson, 1937a:434",Bedfordiella unica,Thompson,,,,,,,
Anatoecus,Anatoecus,,Pediculus dentatus,"Z{l-}otorzycka, 1970:10 ",Benatoecus,"Emerson, 1972a:12",,,,,
Philopterus,Philopterus,,Docophorus singularis,"Uchida, 1948:317 ",Bitrabeculus,"Hopkins & Clay, 1952:50",,,,,
Bizarrifrons,Bizarrifrons,"Eichler, 1938:226",Nirmus magus,Nitzsch,,,,,,,
Bothriometopus,Bothriometopus,"Taschenberg, 1882:188",Lipeurus macrocnemis,Burm.,,,,,,,
Brueelia,Brueelia,"Kéler, 1936a:257",Brueelia rossittensis,Kéler,,,,,,,
Bucerocophorus,Bucerocophorus,"Elbel, 1976:313",Docophorus pachycnemis,Giebel,,,,,,,
Buceroemersonia,Buceroemersonia,"Elbel, 1977b:798",Buceroemersonia clarkei,Elbel,,,,,,,
Buceronirmus,Buceronirmus,"Hopkins, 1941b:43",Buceronirums longicuneatus,Hopkins,,,,,,,
Bucorvellus,Bucorvellus,"Clay, 1955b:1",Lipeurus docophorus,Giebel,,,,,,,
Buerelius,Buerelius,"Clay & Tandan, 1967:34",Docophorus longiceps,Piaget,,,,,,,
Campanulotes,Campanulotes,"Kéler, 1939b:157",Goniocotes compar,Burm.,,,,,,,
Philopterus,Philopterus,,Campephagoecus osculolimbatus,"Eichler, 1952c:75 ",Campephagoecus,"Hopkins & Clay, 1953:435",,,,,
Capraiella,Capraiella,"Conci, 1941b:126",Nirmus subcuspidatus,Burm.,,,,,,,
Caracaricola,Caracaricola,"Mey & Acuna, 2000:62",Caracaricola chimangophilus,Mey & Acuna,,,,,,,
Carduiceps,Carduiceps,"Clay & Meinertzhagen, 1939c:451",Nirmus complexivus,Kellogg & Chapman,,,,,,,
Quadraceps,Quadraceps,,Quadraceps punensis,"Eichler & Z{l-}otorzycka, 1964:320 ",Carrikericeps,"Emerson, 1972a:133",,,,,
Trabeculus,Trabeculus,,Cecalymenus oestrelatae,"Enderlein, 1917:242 ",Cecalymenus,"Hopkins & Clay, 1952:67",,,,,
Centropodiella,Centropodiella,"Mey, 1985:91",Centropodiella borneoensis,Mey,,,,,,,
Anatoecus,Anatoecus,,Cereopsoecus clayae,"Kéler, 1960a:238 ",Cereopsoecus,"Emerson, 1972a:12",,,,,
Austrogoniodes,Austrogoniodes,,Cesareus concii,"Kéler, 1952a:221 ",Cesareus,"Hopkins & Clay, 1953:435",,,,,
Quadraceps,Quadraceps,,Pediculus hiaticulae,"Z{l-}otorzycka, 1967:728 ",Chadraceps,"Emerson, 1972a:133",,,,,
Chelopistes,Chelopistes,"Kéler, 1939b:180",Philopterus stylifer,Nitzsch,,,,,,,
Quadraceps,Quadraceps,,Quadraceps vaginalis,"Eichler, 1982:82 ",Chioniceps,"Palma & Barker, 1996:209",,,,,
Ardeicola,Ardeicola,,Pediculus ciconiae,"Eichler, 1982:83 ",Cicardeicola,,New Syn,,,,
Philopterus,Philopterus,,Docophorus cincli,"Eichler, 1951d:195 ",Cincloecus,"Hopkins & Clay, 1953:436",,,,,
Cirrophthirius,Cirrophthirius,"Timmer., 1953b:330",Pediculus recurvirostrae,L.,,,,,,,
Quadraceps,Quadraceps,,Nirmus decipiens,"Timmer., 1953b:331 ",Cistellatrix,"Palma & Barker, 1996:209",,,,,
Goniodes,Goniodes,,Archigoniodes hopkinsi,"Conci, 1952:178 ",Clayarchigoniodes,"Hopkins & Clay, 1953:436",,,,,
Goniodes,Goniodes,,Goniodes extraneus,"Conci, 1946b:77 ",Claygoniodes,"Hopkins & Clay, 1952:72",,,,,
Philopterus,Philopterus,,Clayiella schulzkampfhenkeli,"Eichler, 1940b:102 ",Clayiella,"Hopkins & Clay, 1952:73",,,,,
Colilipeurus,Colilipeurus,"Bedford, 1930:167",Esthiopterum colius,Bedford,,,,,,,
Colinicola,Colinicola,"Carriker, 1945c:360",Goniodes numidianus,Denny,,,,,,,
Coloceras,Coloceras,"Taschenberg, 1882:42",Goniodes damicornis,Nitzsch,,,,,,,
Coloceras,Coloceras,,Coloceroides nitens,"Tendeiro, 1972b:25 ",Coloceroides,,New Syn,,,,
Columbicola,Columbicola,"Ewing, 1929:116",Pediculus columbae,L.,,,,,,,
Craspedonirmus,Craspedonirmus,,Docophorus graviceps,"Uchida, 1948:309 ",Colymbicola,"Hopkins & Clay, 1952:88",,,,,
Rallicola,Rallicola,,Corvicola insulana,"Carriker, 1949b:1 ",Corvicola,"Hopkins & Clay, 1952:89",,,,,
Brueelia,Brueelia,,Nirmus uncinosus,"Eichler, 1944a:80 ",Corvonirmus,"Hopkins & Clay, 1952:89",,,,,
Cotingacola,Cotingacola,"Carriker, 1956c:366",Cotingacola rupicolae,Carriker,,,,,,,
Craspedonirmus,Craspedonirmus,"Thompson, 1940c:516",Nirmus frontatus,Nitzsch,,,,,,,
Craspedorrhynchus,Craspedorrhynchus,"Kéler, 1938b:239",Docophorus platystomus,Burm.,,,,,,,
Cuclotocephalus,Cuclotocephalus,"Carriker, 1936:101",Cuclotocephalus extraneus,Carriker,,,,,,,
Cuclotogaster,Cuclotogaster,"Carriker, 1936:67",Cuclotogaster laticorpus,Carriker,,,,,,,
Cuculicola,Cuculicola,"Clay & Meinertzhagen, 1939b:165",Nirmus latirostris,Burm.,,,,,,,
Cuculoecus,Cuculoecus,"Ewing, 1936:148",Docophorus coccygi,Osborn,,,,,,,
Cummingsiella,Cummingsiella,"Ewing, 1930a:125",Docophorus testudinarius,Denny,,,,,,,
Philopterus,Philopterus,,Philopterus excisus,"Conci, 1941b:126 ",Cypseloecus,"Hopkins & Clay, 1952:101",,,,,
Dahlemhornia,Dahlemhornia,"Kéler, 1936b:126",Philopterus excisus,Nitzsch,,,,,,,
Philopterus,Philopterus,,Philopterus claviformis,"Conci, 1941b:126 ",Debeauxoecus,"Hopkins & Clay, 1952:110",,,,,
Degeeriella,Degeeriella,"Neumann, 1906:60",Nirmus discocephalus,Burm.,,,,,,,
Goniocotes,Goniocotes,,Goniocotes haplogonus,"Kéler, 1939b:153 ",Dictyocotes,"Hopkins & Clay, 1952:116",,,,,
Paragoniocotes,Paragoniocotes,,Dimorphia mirabilis,"Carriker, 1940:294 ",Dimorphia,"Hopkins & Clay, 1952:116",,,,,
Harrisoniella,Harrisoniella,,Lipeurus ferox,"Kéler, 1957a:496 ",Diomedicola,"Emerson, 1972a:83",,,,,
Discocorpus,Discocorpus,"Carriker, 1936:147",Discocorpus cephalosus,Carriker,,,,,,,
Vernoniella,Vernoniella,,Ditopos biprosapiae,"Carriker, 1956a:127 ",Ditopos,"Emerson, 1972a:176",,,,,
Heptapsogaster,Heptapsogaster,,Goniocotes sexsetosus,"Carriker, 1936:165 ",Docophorocotes,"Hopkins & Clay, 1952:117",,,,,
Docophoroides,Docophoroides,"Giglioli, 1864:21",Philopterus brevis,Dufour,,,,,,,
Philopterus,Philopterus,,Docophorus communis,"Eichler, 1944a:80 ",Docophorulus,"Hopkins & Clay, 1952:118",,,,,
Philopterus,Philopterus,,Pediculus ocellatus,"Nitzsch, 1818:289 ",Docophorus,"Hopkins & Clay, 1952:119",,,,,
Cummingsiella,Cummingsiella,,Docophorus testudinarius,"Cummings, 1916b:675 ",Dollabella,"Hopkins & Clay, 1952:127",,,,,
Echinophilopterus,Echinophilopterus,"Ewing, 1927:92",Echinophilopterus chapini,Ewing,,,,,,,
Strigiphilus,Strigiphilus,,Docophorus cursor,"Z{l-}otorzycka, 1974:328 ",Eichlerius,,New Syn,,,,
Oxylipeurus,Oxylipeurus,,Eiconolipeurus importunuus,"Carriker, 1945a:91 ",Eiconolipeurus,"Hopkins & Clay, 1952:128",,,,,
Emersoniella,Emersoniella,"Tendeiro, 1965e:69",Emersoniella halcyonis,Tendeiro,,,,,,,
Oxylipeurus,Oxylipeurus,,Lipeurus clavatus,"Carriker, 1945a:104 ",Epicolinus,"Hopkins & Clay, 1952:130",,,,,
Pectinopygus,Pectinopygus,,Lipeurus gracilicornis,"Thompson, 1935b:150 ",Epifregata,"Clay, 1973:214",,,,,
Pectinopygus,Pectinopygus,,Lipeurus forficulatus,"Thompson, 1935b:149 ",Epipelecanus,"Clay, 1973:214",,,,,
Rallicola,Rallicola,,Epipicus scapanoides,"Carriker, 1949a:309 ",Epipicus,"Hopkins & Clay, 1952:131",,,,,
Paragoniocotes,Paragoniocotes,,Dimorpha mirabilis,"Carriker, 1944a:233 ",Epipsittacus,"Hopkins & Clay, 1952:131",,,,,
Episbates,Episbates,"Thompson, 1935c:485",Philopterus pederiformis,Dufour,,,,,,,
Esthiopterum,Esthiopterum,,Philopterus ebraeus,"Harrison, 1937:25 ",Esthiopterella,"Hopkins & Clay, 1952:131",,,,,
Esthiopterum,Esthiopterum,"Harrison, 1916:26",Philopterus ebraeus,Nitzsch,,,,,,,
Goniodes,Goniodes,,Goniodes ocrea,"Mey, 1997b:29 ",Euligoniodes,,New Syn,,,,
Plegadiphilus,Plegadiphilus,,Plegadiphilus geronticus,"Eichler, 1986:46 ",Euplegadiphilus,,New Syn,,,,
Docophoroides,Docophoroides,,Lipeurus taurus,"Taschenberg, 1882:182 ",Eurymetopus,"Hopkins & Clay, 1952:134",,,,,
Strigiphilus,Strigiphilus,,Docophorus ceblebrachys,"Ewing, 1926:148 ",Eustrigiphilus,"Hopkins & Clay, 1952:134",,,,,
Craspedorrhynchus,Craspedorrhynchus,,Docophorus aquilinus,"Clay & Meinertzhagen, 1938b:275 ",Falcoecus,"Hopkins & Clay, 1952:135",,,,,
Falcolipeurus,Falcolipeurus,"Bedford, 1931a:290",Lipeurus secretarius,Giebel,,,,,,,
Falcolius,Falcolius,"Clay, 1955a:180",Falcolius jordani,Clay,,,,,,,
Anatoecus,Anatoecus,,Docophorus pygaspis,"Kéler, 1960a:305 ",Flamingobius,"Emerson, 1972a:12",,,,,
Forficuloecus,Forficuloecus,"Conci, 1941b:126",Philopterus forficula,Piaget,,,,,,,
Formicaphagus,Formicaphagus,"Carriker, 1957b:411",Formicaphagus picturatus,Carriker,,,,,,,
Formicaricola,Formicaricola,"Carriker, 1957b:430",Formicaricola analoides,Carriker,,,,,,,
Fulicoffula,Fulicoffula,"Clay & Meinertzhagen, 1938b:279",Philopterus luridus,Nitzsch,,,,,,,
Rallicola,Rallicola,,Furnaricola acutifrons,"Carriker, 1944c:83 ",Furnaricola,"Hopkins & Clay, 1952:142",,,,,
Furnariphilus,Furnariphilus,"Price & Clayton, 1995a:839",Furnariphilus pagei,Price & Clayton,,,,,,,
Cuclotogaster,Cuclotogaster,,Lipeurus heterographus,"Clay, 1938b:135 ",Gallipeurus,"Hopkins & Clay, 1952:142",,,,,
Galliphilopterus,Galliphilopterus,"Emerson & Elbel, 1957d:147",Galliphilopterus brunneopectus,Emerson & Elbel,,,,,,,
Trabeculus,Trabeculus,,Giebelia mirabilis,"Kellogg, 1896a:137 ",Giebelia,"Hopkins & Clay, 1952:143",,,,,
Quadraceps,Quadraceps,,Nirmus ellipticus,"Eichler, 1944a:80 ",Glareolites,"Hopkins & Clay, 1952:143",,,,,
Physconelloides,Physconelloides,,Goniocotacanthus mattogrossensis,"Guimarães, 1936a:225 ",Goniocotacanthus,"Hopkins & Clay, 1952:146",,,,,
Goniocotes,Goniocotes,"Burm., 1838:431",Ricinus gallinae,De Geer,,,,,,,
Goniodes,Goniodes,"Nitzsch, 1818:293",Pediculus pavonis,L.,,,,,,,
Goniodes,Goniodes,,Goniodes chelicornis,"Kéler, 1937a:130 ",Gonocephalus,"Hopkins & Clay, 1952:159",,,,,
Goniodes,Goniodes,,Goniodes cervinicornis,"Kéler, 1939b:48 ",Gonotyles,"Hopkins & Clay, 1952:159",,,,,
Guenterion,Naubates,"Palma & Pilgrim, 2002:29",,,,,,Guenterion,"Palma & Pilgrim, 2002:29 ",Lipeurus clypeatus,Giebel
Brueelia,Brueelia,,Docophorus subalbicans,"Eichler, 1949b:11 ",Guimaraesiella,"Hopkins & Clay, 1952:160",,,,,
Quadraceps,Quadraceps,,Nirmus haematopi,"Timmer., 1950b:1 ",Haematophagus,"Hopkins & Clay, 1953:438",,,,,
Haffneria,Haffneria,"Timmer., 1966:87",Perineus piratae,Timmer.,,,,,,,
Alcedoecus,Alcedoecus,,Docophorus alatoclypeatus,"Uchida, 1948:312 ",Halcyonicola,"Hopkins & Clay, 1952:163",,,,,
Halipeurus,Halipeurus,"Thompson, 1936:40",Lipeurus angusticeps,Piaget,,,,,,,
Harrisoniella,Harrisoniella,"Bedford, 1929:529",Lipeurus ferox,Giebel,,,,,,,
Saemundssonia,Saemundssonia,,Docophorus alpinus,"Kéler, 1936a:261 ",Hastaephorus,"Hopkins & Clay, 1952:165",,,,,
Heptapsogaster,Heptapsogaster,,Heinrothiella inexpectata,"Eichler, 1942e:29 ",Heinrothiella,"Hopkins & Clay, 1952:165",,,,,
Aegypoecus,Aegypoecus,,Helluo neophron,"Clay & Meinertzhagen, 1938b:276 ",Helluo,"Hopkins & Clay, 1952:166",,,,,
Kelloggia,Kelloggia,,Heptagoniodes mirabilis,"Carriker, 1936:166 ",Heptagoniodes,"Hopkins & Clay, 1952:166",,,,,
Heptapsogaster,Heptapsogaster,"Carriker, 1936:115",Heptapsogaster mandibularis,Carriker,,,,,,,
Pterocotes,Pterocotes,,Heptapsus notocercae,"Carriker, 1936:153 ",Heptapsus,"Ward, 1957:340",,,,,
Heptapsogaster,Heptapsogaster,,Goniodes parvulus,"Carriker, 1936:134 ",Heptarthrogaster,"Hopkins & Clay, 1952:171",,,,,
Megapeostus,Megapeostus,,Goniocotes clypeiceps,"Carriker, 1936:144 ",Heterogoniodes,"Ward, 1957:338",,,,,
Heptapsogaster,Heptapsogaster,,Rhyncothura carrikeri,"Carriker, 1944a:175 ",Heteropeostus,"Hopkins & Clay, 1952:172",,,,,
Acidoproctus,Acidoproctus,,Heteroproctus hilli,"Harrison, 1915a:394 ",Heteroproctus,"Hopkins & Clay, 1952:172",,,,,
Quadraceps,Quadraceps,,Nirmus hemichrous,"Z{l-}otorzycka, 1967:733 ",Himantophagus,"Emerson, 1972a:133",,,,,
Brueelia,Brueelia,,Hirundiniella cruscula,"Carriker, 1963a:312 ",Hirundiniella,"Emerson, 1972a:24",,,,,
Osculotes,Osculotes,,Hoazinia femoralis,"Carriker, 1940:287 ",Hoazinia,"Hopkins & Clay, 1952:173",,,,,
Goniodes,Goniodes,,Goniocotes macrocephalus,"Kéler, 1939b:117 ",Homocerus,"Hopkins & Clay, 1952:175",,,,,
Hopkinsiella,Hopkinsiella,"Clay & Meinertzhagen, 1939b:166",Hopkinsiella hopkinsi,Clay & Meinertzhagen,,,,,,,
Huiacola,Rallicola,,,,,,New Syn,Huiacola,"Mey, 1990a:52 ",Huiacola extinctus,Mey
Austrokelloggia,Austrokelloggia,,Strongylocotes coniceps,"Carriker, 1940:298 ",Hypocrypturellus,"Hopkins & Clay, 1952:175",,,,,
Austrokelloggia,Austrokelloggia,,Strongylocotes coniceps,"Carriker, 1936:178 ",Hypocryptus,"Hopkins & Clay, 1952:175",,,,,
Ibidoecus,Ibidoecus,"Cummings, 1916b:663",Docophorus plataleae,Denny,,,,,,,
Incidifrons,Incidifrons,"Ewing, 1929:189",Docophorus pertusus,Burm.,,,,,,,
Goniodes,Goniodes,,Goniodes fimbriatus,"Tendeiro, 1954a:94 ",Keleria,,New Syn,,,,
Goniodes,Goniodes,,Goniodes processus,"Conci, 1946b:77 ",Kelerigoniodes,"Hopkins & Clay, 1952:178",,,,,
Degeeriella,Degeeriella,,Nirmus fuscus,"Eichler, 1940b:101 ",Kelerinirmus,"Hopkins & Clay, 1952:179",,,,,
Kelloggia,Kelloggia,"Carriker, 1903:153",Kelloggia brevipes,Carriker,,,,,,,
Kodocephalon,Kodocephalon,"Kéler, 1939b:73",Goniodes latus,Piaget,,,,,,,
Quadraceps,Quadraceps,,Nirmus punctatus,"Eichler, 1940b:101 ",Koeniginirmus,"Hopkins & Clay, 1952:180",,,,,
Labicotes,Labicotes,"Kéler, 1939b:171",Goniocotes guttatus,Taschenberg,,,,,,,
Lagopoecus,Lagopoecus,"Waterston, 1922:159",Nirmus cameratus,Burm.,,,,,,,
Quadraceps,Quadraceps,,Nirmus ornatus,"Z{l-}otorzycka, 1967:754 ",Laminonirmus,"Emerson, 1972a:133",,,,,
Lamprocorpus,Lamprocorpus,"Carriker, 1936:150",Lamprocorpus hirsutus,Carriker,,,,,,,
Goniodes,Goniodes,,Leipoiella maoriana,"Mey, 1986:526 ",Leipoiella,"Palma & Barker, 1996:180",,,,,
Kelloggia,Kelloggia,,Goniocotes agonus,"Taschenberg, 1882:55 ",Lepidophorus,"Hopkins & Clay, 1952:189",,,,,
Lipeurus,Lipeurus,,Lipeuroides nodosus,"Mey, 1982d:240 ",Lipeuroides,,New Syn,,,,
Lipeurus,Lipeurus,"Nitzsch, 1818:292",Pediculus caponis,L.,,,,,,,
Goniodes,Goniodes,,Goniocotes discogaster,"Mey, 1997b:35 ",Lobicrotaphus,,New Syn,,,,
Lunaceps,Lunaceps,"Clay & Meinertzhagen, 1939c:450",Nirmus actophilus,Kellogg & Chapman,,,,,,,
Trabeculus,Trabeculus,,Mackayia dimorpha,"Waterston, 1912a:252 ",Mackayia,"Hopkins & Clay, 1952:204",,,,,
Brueelia,Brueelia,,Nirmus mundus,"Z{l-}otorzycka, 1964b:247 ",Maculinirmus,"Ledger, 1980:141",,,,,
Lipeurus,Lipeurus,,Malaulipeurus alexandermuelleri,"Mey & Curio, 1993b:141 ",Malaulipeurus,,New Syn,,,,
Gonoides,Gonoides,,Goniocotes minor,"Mey, 1997b:24 ",Maleoicus,,New Syn,,,,
Goniodes,Goniodes,,Goniocotes major,"Mey, 1997b:23 ",Maleophilus,,New Syn,,,,
Goniodes,Goniodes,,Goniodes eurygaster,"Kéler, 1939b:132 ",Margaritenes,"Hopkins & Clay, 1952:205",,,,,
Paragoniocotes,Paragoniocotes,,Paragoniocotes grandis,"Eichler, 1952c:77 ",Mausolus,"Hopkins & Clay, 1953:439",,,,,
Megaginus,Megaginus,"Carriker, 1936:97",Megaginus emarginatus,Carriker,,,,,,,
Oxylipeurus,Oxylipeurus,,Lipeurus unicolor,"Kéler, 1958b:338 ",Megalipeurus,"Ledger, 1980:163",,,,,
Megapeostus,Megapeostus,"Carriker, 1936:141",Megapeostus asymmetricus,Carriker,,,,,,,
Megapodiella,Megapodiella,"Emerson & Price, 1972a:77",Megapodiella nakatae,Emerson & Price,,,,,,,
Goniodes,Goniodes,,Goniodes leipoae,"Mey, 1986:530 ",Megatheliella,"Palma & Barker, 1996:180",,,,,
Lipeurus,Lipeurus,,Megathellipeurus sejugatus,"Mey, 1986:534 ",Megathellipeurus,"Palma & Barker, 1996:189",,,,,
Meinertzhageniella,Meinertzhageniella,"Eichler, 1940b:98",Lipeurus latus,Piaget,,,,,,,
Alcedoecus,Alcedoecus,,Philopterus setosus,"Conci, 1941b:127 ",Meliphagoecus,"Hopkins & Clay, 1952:207",,,,,
Meropoecus,Meropoecus,"Eichler, 1940b:102",Docophorus meropis,Denny,,,,,,,
Brueelia,Brueelia,,Degeeriella apiastri,"Conci, 1941a:104 ",Meropsiella,"Hopkins & Clay, 1952:225",,,,,
Ornithobius,Ornithobius,,Metopeuron punctatum,"Rudow, 1870a:138 ",Metopeuron,"Hopkins & Clay, 1952:225",,,,,
Pectinopygus,Pectinopygus,,Naubates garbei,"Pessôa & Guimarães, 1935c:109 ",Micronaubates,"Hopkins & Clay, 1952:226",,,,,
Quadraceps,Quadraceps,,Nirmus obliquus,"Eichler, 1944a:81 ",Mjoeberginirmus,"Hopkins & Clay, 1952:226",,,,,
Mulcticola,Mulcticola,"Clay & Meinertzhagen, 1938b:279",Nirmus hypoleucus,Denny,,,,,,,
Nakicola,Nakicola,"Mey, 1993b:148",Nakicola madagascarinus,Mey,,,,,,,
Naubates,Naubates,"Bedford, 1930:167",Lipeurus fuliginosus,Taschenberg,,,,,,,
Naubates,Naubates,,Naubates heteroproctus,"Harrison, 1937:30 ",Naubates,"Hopkins & Clay, 1952:234",,,,,
Strigiphilus,Strigiphilus,,nomen nudum,"Kéler, 1939:53 ",Neodocophorus,"Hopkins & Clay, 1952:235",,,,,
Neophilopterus,Neophilopterus,"Cummings, 1916b:660",Docophorus tricolor,Burm.,,,,,,,
Neopsittaconirmus,Neopsittaconirmus,"Conci, 1942b:37",Neopsittaconirmus borgiolii,Conci,,,,,,,
Nesiotinus,Nesiotinus,,Nesiotinus demersa,"Kellogg, 1903:90 ",Nesiotes,"Hopkins & Clay, 1952:239",,,,,
Nesiotinus,Nesiotinus,"Kellogg, 1903:89",Nesiotinus demersa,Kellogg,,,,,,,
